Office,Taluk,District,State,Pincode
Kizhakkambalam,Aluva,Ernakulam,KERALA,683562
Kizhakompu,Muvattupuzha,Ernakulam,KERALA,686662
Kizhmuri,Muvattupuzha,Ernakulam,KERALA,686663
Kochi Airport,Aluva,Ernakulam,KERALA,683111
Kodanad,Kunnathunad,Ernakulam,KERALA,683544
Kolenchery,Kunnathunad,Ernakulam,KERALA,682311
Kombanad,Kunnathunad,Ernakulam,KERALA,683546
Kongorpilly,Paravur,Ernakulam,KERALA,683518
Koonammavu,Paravur,Ernakulam,KERALA,683518
Koothattukulam,Muvattupuzha,Ernakulam,KERALA,686662
Koovalloor,Kothamangalam,Ernakulam,KERALA,686671
Koovappady,Kunnathunad,Ernakulam,KERALA,683544
Koovappara,Kothamangalam,Ernakulam,KERALA,686681
Kothamangalam Bazar,Kothamangalam,Ernakulam,KERALA,686691
Kothamangalam College,Kothamangalam,Ernakulam,KERALA,686666
Kothamangalam Ernakulam,Kothamangalam,Ernakulam,KERALA,686691
Kottappady,Kothamangalam,Ernakulam,KERALA,686692
Kottuvally,Paravur,Ernakulam,KERALA,683519
Kozhipilly,Kothamangalam,Ernakulam,KERALA,686691
Kumarapuram Ernakulam,Kunnathunad,Ernakulam,KERALA,683565
Kunjithai,Paravur,Ernakulam,KERALA,683522
Kunnackal,Muvattupuzha,Ernakulam,KERALA,682316
Kunnukara,Paravur,Ernakulam,KERALA,683578
Kurumassery,Aluva,Ernakulam,KERALA,683579
Kuruppampady,Kunnathunad,Ernakulam,KERALA,683545
KuthiathodeEKM,Paravur,Ernakulam,KERALA,683594
Kuthukuzhy,Kothamangalam,Ernakulam,KERALA,686691
Kuttampuzha,Kothamangalam,Ernakulam,KERALA,686681
Madakkathanam,Muvattupuzha,Ernakulam,KERALA,686670
Malayattoor,Aluva,Ernakulam,KERALA,683587
Malayidumthuruth,Kunnathunad,Ernakulam,KERALA,683561
Maliankara,Paravur,Ernakulam,KERALA,683516
Malipara,Kothamangalam,Ernakulam,KERALA,686681
Mamalakandom,Kothamangalam,Ernakulam,KERALA,686681
Mamalassery,Muvattupuzha,Ernakulam,KERALA,686663
Manary,Muvattupuzha,Ernakulam,KERALA,686673
Manickamangalam,Aluva,Ernakulam,KERALA,683574
Manidu,Muvattupuzha,Ernakulam,KERALA,686664
Manikinar,Kothamangalam,Ernakulam,KERALA,686693
Manjapra,Aluva,Ernakulam,KERALA,683581
Mannam Paravur,Paravur,Ernakulam,KERALA,683520
Mannathur,Muvattupuzha,Ernakulam,KERALA,686667
Marady East,Muvattupuzha,Ernakulam,KERALA,686673
Marampally,Kunnathunad,Ernakulam,KERALA,683105
Marika,Muvattupuzha,Ernakulam,KERALA,686662
Mattoor,Aluva,Ernakulam,KERALA,683574
Mazhuvannoor,Kunnathunad,Ernakulam,KERALA,686669
Mazhuvannoor South,Kunnathunad,Ernakulam,KERALA,686669
Meenkunnam,Muvattupuzha,Ernakulam,KERALA,686672
Mekkad,Aluva,Ernakulam,KERALA,683589
Mekkadambu,Muvattupuzha,Ernakulam,KERALA,682316
Memadangu,Muvattupuzha,Ernakulam,KERALA,686672
Methala,Kunnathunad,Ernakulam,KERALA,683545
Mookkannur,Aluva,Ernakulam,KERALA,683577
Moothakunnam,Paravur,Ernakulam,KERALA,683516
Mudakuzha,Kunnathunad,Ernakulam,KERALA,683546
Mudavoor,Muvattupuzha,Ernakulam,KERALA,686669
Mudikkal,Kunnathunad,Ernakulam,KERALA,683547
Mulakulam,Muvattupuzha,Ernakulam,KERALA,686664
Mulavoor,Muvattupuzha,Ernakulam,KERALA,686673
Mullapuzhachal,Muvattupuzha,Ernakulam,KERALA,686670
Muppathadam,Paravur,Ernakulam,KERALA,683110
Mutholapuram,Muvattupuzha,Ernakulam,KERALA,686665
Muvattupuzha Bazar,Muvattupuzha,Ernakulam,KERALA,686673
Muvattupuzha,Muvattupuzha,Ernakulam,KERALA,686661
Muvattupuzha Market,Muvattupuzha,Ernakulam,KERALA,686673
Nadukani,Kothamangalam,Ernakulam,KERALA,686691
Naduvattam,Aluva,Ernakulam,KERALA,683574
Nagapuzha,Muvattupuzha,Ernakulam,KERALA,686668
Nanthiattukunnam,Paravur,Ernakulam,KERALA,683513
Naval Armament Depot Aluva,Aluva,Ernakulam,KERALA,683563
Nayathode,Aluva,Ernakulam,KERALA,683572
Nechoor,Muvattupuzha,Ernakulam,KERALA,686664
Nedumbassery,Aluva,Ernakulam,KERALA,683585
Nedungapra,Kunnathunad,Ernakulam,KERALA,683545
Neeleeswaram,Aluva,Ernakulam,KERALA,683574
Neendapara,Kothamangalam,Ernakulam,KERALA,686693
Neericode,Paravur,Ernakulam,KERALA,683511
Nellad,Kunnathunad,Ernakulam,KERALA,686669
Nellikuzhy,Kothamangalam,Ernakulam,KERALA,686691
Nellimattam,Kothamangalam,Ernakulam,KERALA,686693
Neriamangalam,Kothamangalam,Ernakulam,KERALA,686693
Nirmala,Muvattupuzha,Ernakulam,KERALA,686673
Njayapalli,Kothamangalam,Ernakulam,KERALA,686681
North Piramadom,Muvattupuzha,Ernakulam,KERALA,686667
Okkal,Kunnathunad,Ernakulam,KERALA,683550
Oliyapuram,Muvattupuzha,Ernakulam,KERALA,686662
Onakkoor,Muvattupuzha,Ernakulam,KERALA,686667
Oonnukal,Kothamangalam,Ernakulam,KERALA,686693
Ooramana,Muvattupuzha,Ernakulam,KERALA,686663
Paduvapuram,Aluva,Ernakulam,KERALA,683576
Paingattoor,Kothamangalam,Ernakulam,KERALA,686671
Palakuzha,Muvattupuzha,Ernakulam,KERALA,686662
Pallarimangalam,Kothamangalam,Ernakulam,KERALA,686671
Palliport,Kochi,Ernakulam,KERALA,683515
Pampakuda,Muvattupuzha,Ernakulam,KERALA,686667
Panaikulam,Paravur,Ernakulam,KERALA,683511
Pandappily,Muvattupuzha,Ernakulam,KERALA,686672
Paniely,Kunnathunad,Ernakulam,KERALA,683546
Panipra,Kothamangalam,Ernakulam,KERALA,686692
Parakkadavu,Aluva,Ernakulam,KERALA,683579
Parappuram,Aluva,Ernakulam,KERALA,683575
Paravur Market,Paravur,Ernakulam,KERALA,683513
Paravur Ernakulam,Paravur,Ernakulam,KERALA,683513
Paravur Town,Paravur,Ernakulam,KERALA,683513
Pareekanni,Kothamangalam,Ernakulam,KERALA,686693
Pattimattam,Aluva,Ernakulam,KERALA,683562
Pazhamthottam,Kunnathunad,Ernakulam,KERALA,683565
Pazhoor,Muvattupuzha,Ernakulam,KERALA,686664
Periapuram,Muvattupuzha,Ernakulam,KERALA,686667
Peringala,Kunnathunad,Ernakulam,KERALA,683565
PerumannoorKGM,Kothamangalam,Ernakulam,KERALA,686693
Perumbadavam,Muvattupuzha,Ernakulam,KERALA,686665
Perumballoor,Muvattupuzha,Ernakulam,KERALA,686673
Perumbavoor,Kunnathunad,Ernakulam,KERALA,683542
Perumbavoor South,Kunnathunad,Ernakulam,KERALA,683542
Pezhakkappilly,Muvattupuzha,Ernakulam,KERALA,686673
Pindimana,Kothamangalam,Ernakulam,KERALA,686692
Piraroor,Aluva,Ernakulam,KERALA,683574
Piravom,Muvattupuzha,Ernakulam,KERALA,686664
Plamudi,Kothamangalam,Ernakulam,KERALA,686692
Ponjassery,Kunnathunad,Ernakulam,KERALA,683547
Pooyamkutty,Kothamangalam,Ernakulam,KERALA,686681
Pothanicaud,Kothamangalam,Ernakulam,KERALA,686671
Pulinthanam,Kothamangalam,Ernakulam,KERALA,686671
Puliyanam,Aluva,Ernakulam,KERALA,683572
Pulluvazhi,Kunnathunad,Ernakulam,KERALA,683541
Puthenvelikkara,Paravur,Ernakulam,KERALA,683594
Puthupadi,Muvattupuzha,Ernakulam,KERALA,686673
Ramamangalam,Muvattupuzha,Ernakulam,KERALA,686663
Randar,Muvattupuzha,Ernakulam,KERALA,686673
Rayamangalam,Kunnathunad,Ernakulam,KERALA,683545
Rayonpuram,Kunnathunad,Ernakulam,KERALA,683543
S.Aduvassery,Paravur,Ernakulam,KERALA,683578
South Vazhakulam,Kunnathunad,Ernakulam,KERALA,683105
Sreemoolanagaram,Aluva,Ernakulam,KERALA,683580
Thabore,Aluva,Ernakulam,KERALA,683577
Thaikkattukara,Aluva,Ernakulam,KERALA,683106
Thalakode,Kothamangalam,Ernakulam,KERALA,686693
Thathappilly,Paravur,Ernakulam,KERALA,683520
Thattekkad,Kothamangalam,Ernakulam,KERALA,686681
Thazhvankunnam,Muvattupuzha,Ernakulam,KERALA,686668
Thekkenmarady,Muvattupuzha,Ernakulam,KERALA,686673
Thirumarady,Muvattupuzha,Ernakulam,KERALA,686662
Thottakkattukara,Aluva,Ernakulam,KERALA,683108
Thottumughom,Aluva,Ernakulam,KERALA,683105
Thrikkalathoor,Kunnathunad,Ernakulam,KERALA,683541
Thrikkariyoor,Kothamangalam,Ernakulam,KERALA,686692
Thuravoor,Aluva,Ernakulam,KERALA,683572
Thuravumkara,Aluva,Ernakulam,KERALA,683575
Thuruthy,Kunnathunad,Ernakulam,KERALA,683545
Uliyannoor,Aluva,Ernakulam,KERALA,683108
Union Christian College,Aluva,Ernakulam,KERALA,683102
Urulanthanni,Kothamangalam,Ernakulam,KERALA,686681
Vadakkekara,Paravur,Ernakulam,KERALA,683522
Vadakkumpuram,Paravur,Ernakulam,KERALA,683521
Vadakode vazhakulam,Muvattupuzha,Ernakulam,KERALA,686670
Vadattupara,Kothamangalam,Ernakulam,KERALA,686681
Vaikkara,Kunnathunad,Ernakulam,KERALA,683549
Valayanchirangara,Kunnathunad,Ernakulam,KERALA,683556
Vappalassery,Aluva,Ernakulam,KERALA,683572
Varapuzha Landing,Paravur,Ernakulam,KERALA,683517
Varapuzha,Paravur,Ernakulam,KERALA,683517
Vattaparambu,Aluva,Ernakulam,KERALA,683579
Vazhakulam,Muvattupuzha,Ernakulam,KERALA,686670
Vazhappilly East,Muvattupuzha,Ernakulam,KERALA,686673
Vellarappilly South,Aluva,Ernakulam,KERALA,683580
Vempilly,Kunnathunad,Ernakulam,KERALA,683565
Vengola,Kunnathunad,Ernakulam,KERALA,683556
Vengola West,Kunnathunad,Ernakulam,KERALA,683556
Vengoor,Kunnathunad,Ernakulam,KERALA,683546
Vettampara,Kothamangalam,Ernakulam,KERALA,686681
Vilangu,Kunnathunad,Ernakulam,KERALA,683561
West Kadungalloor,Paravur,Ernakulam,KERALA,683110
West Veliyathunad,Paravur,Ernakulam,KERALA,683511
Yordhanapuram,Aluva,Ernakulam,KERALA,683574
AIMS Ponekkara,Kanayannur,Ernakulam,KERALA,682041
Ambalamedu,Kunnathunad,Ernakulam,KERALA,682303
Ambalamugal,Kunnathunad,Ernakulam,KERALA,682302
Amballur,Ernakulam,Ernakulam,KERALA,682315
Andikkadavu,Kochi,Ernakulam,KERALA,682008
Arakunnam,Kanayannur,Ernakulam,KERALA,682313
Ayyampilly,Kochi,Ernakulam,KERALA,682501
Azheekal,Kochi,Ernakulam,KERALA,682508
Bhaktanandapuram,Kunnathunad,Ernakulam,KERALA,682308
Brahmapuram,Kunnathunad,Ernakulam,KERALA,682303
Changampuzha Nagar,Kanayannur,Ernakulam,KERALA,682033
Chellanam,Kochi,Ernakulam,KERALA,682008
Cheranallur,Ernakulam,Ernakulam,KERALA,682034
Chethicode,Kanayannur,Ernakulam,KERALA,682315
Chittoor ekm,Ernakulam,Ernakulam,KERALA,682027
Chottanikkara,Kanayannur,Ernakulam,KERALA,682312
Cochin Special Economic Zone,Ernakulam,Ernakulam,KERALA,682037
Edakkattuvayal,Kanayannur,Ernakulam,KERALA,682313
Edakochi,Kochi,Ernakulam,KERALA,682010
Edapally North,Ernakulam,Ernakulam,KERALA,682024
Edapally,Ernakulam,Ernakulam,KERALA,682024
Edavanakad,Kochi,Ernakulam,KERALA,682502
Elamakkara,Ernakulam,Ernakulam,KERALA,682026
Elamkunnapuzha,Kochi,Ernakulam,KERALA,682503
Ernakulam College,Ernakulam,Ernakulam,KERALA,682035
Ernakulam,Ernakulam,Ernakulam,KERALA,682011
Ernakulam High Court,Ernakulam,Ernakulam,KERALA,682031
Ernakulam Hindi Prachar Sabha,Ernakulam,Ernakulam,KERALA,682016
Ernakulam North,Ernakulam,Ernakulam,KERALA,682018
Eroor Ernakulam,Ernakulam,Ernakulam,KERALA,682306
Eroor South,Ernakulam,Ernakulam,KERALA,682306
Eroor West,Ernakulam,Ernakulam,KERALA,682306
Ezhakkaranad,Muvattupuzha,Ernakulam,KERALA,682308
Ezhakkaranadu South,Muvattupuzha,Ernakulam,KERALA,682308
Hmt Colony,Kanayannur,Ernakulam,KERALA,683503
Infopark Kochi,Kanayannur,Ernakulam,KERALA,682042
Irimbanam,Ernakulam,Ernakulam,KERALA,682309
Kadamakudi,Ernakulam,Ernakulam,KERALA,682027
Kadavanthara,Ernakulam,Ernakulam,KERALA,682020
Kadungamangalam,Kanayannur,Ernakulam,KERALA,682305
Kaipatoor,Ernakulam,Ernakulam,KERALA,682313
Kakkanad,Ernakulam,Ernakulam,KERALA,682030
Kakkanad West,Ernakulam,Ernakulam,KERALA,682030
Kalamassery Development Plot,Kanayannur,Ernakulam,KERALA,683104
Kalamassery,Kanayannur,Ernakulam,KERALA,683104
Kaloor,Ernakulam,Ernakulam,KERALA,682017
Kanayannoor,Kanayannur,Ernakulam,KERALA,682312
Kandanad,Kanayannur,Ernakulam,KERALA,682305
Kaninad,Kunnathunad,Ernakulam,KERALA,682310
Kanjiramattom,Kanayannur,Ernakulam,KERALA,682315
Kannamali,Kochi,Ernakulam,KERALA,682008
Karimugal,Kunnathunad,Ernakulam,KERALA,682303
Kochi,Kochi,Ernakulam,KERALA,682001
Kochi M.G.Road,Ernakulam,Ernakulam,KERALA,682016
Kochi Naval Base,Kochi,Ernakulam,KERALA,682004
Kochi Palace,Ernakulam,Ernakulam,KERALA,682301
Kochi University,Ernakulam,Ernakulam,KERALA,682022
Kokkappilly,Kunnathunad,Ernakulam,KERALA,682305
Kothad,Ernakulam,Ernakulam,KERALA,682027
Kulayettikara,Kanayannur,Ernakulam,KERALA,682315
Kumbalam,Ernakulam,Ernakulam,KERALA,682506
Kumbalangi,Kochi,Ernakulam,KERALA,682007
Kumbalangi South,Kochi,Ernakulam,KERALA,682007
Kureekad,Kanayannur,Ernakulam,KERALA,682305
Kusumagiri,Ernakulam,Ernakulam,KERALA,682030
Kuttikkattukara,Ernakulam,Ernakulam,KERALA,683501
Kuzhiyara,Kunnathunad,Ernakulam,KERALA,682312
Malipuram,Kochi,Ernakulam,KERALA,682511
Mamala,Kunnathunad,Ernakulam,KERALA,682305
Manjummel,Parur,Ernakulam,KERALA,683501
Maradu,Ernakulam,Ernakulam,KERALA,682304
Marithazham,Kanayannur,Ernakulam,KERALA,682315
Matsyapuri,Kochi,Ernakulam,KERALA,682029
Mattancherry Jetty,Kochi,Ernakulam,KERALA,682002
Mattancherry,Kochi,Ernakulam,KERALA,682002
Mattancherry Town,Kochi,Ernakulam,KERALA,682002
Meempara,Kunnathunadu,Ernakulam,KERALA,682308
Mulanthuruthy,Ernakulam,Ernakulam,KERALA,682314
Mulavukad,Ernakulam,Ernakulam,KERALA,682504
Mundamveli,Kochi,Ernakulam,KERALA,682507
Nadakkavu,Kanayannur,Ernakulam,KERALA,682307
Narakkal,Kochi,Ernakulam,KERALA,682505
Nayarambalam,Kochi,Ernakulam,KERALA,682509
Nazreth,Kochi,Ernakulam,KERALA,682507
Nedungad,Kochi,Ernakulam,KERALA,682509
Nettoor,Kanayannur,Ernakulam,KERALA,682040
North End,Kochi,Ernakulam,KERALA,682009
Ochanthuruth,Kochi,Ernakulam,KERALA,682508
Pachalam,Ernakulam,Ernakulam,KERALA,682012
Paingarapilly,Kanayannur,Ernakulam,KERALA,682314
Palarivattom,Ernakulam,Ernakulam,KERALA,682025
Palluruthy,Kochi,Ernakulam,KERALA,682006
Palluruthy South,Kochi,Ernakulam,KERALA,682006
Panampilly Nagar,Ernakulam,Ernakulam,KERALA,682036
Panangad Ernakulam,Kanayannur,Ernakulam,KERALA,682506
Panayappilly,Kochi,Ernakulam,KERALA,682002
Pancode,Kunnathunadu,Ernakulam,KERALA,682310
Perumanur,Ernakulam,Ernakulam,KERALA,682015
Perumpilly,Kanayannur,Ernakulam,KERALA,682314
Pizhala,Ernakulam,Ernakulam,KERALA,682027
Poonithura,Ernakulam,Ernakulam,KERALA,682038
Poothotta,Kanayannur,Ernakulam,KERALA,682307
Poothrikka,Kunnathunad,Ernakulam,KERALA,682308
Pulickamaly,Kanayannur,Ernakulam,KERALA,682314
Puthencruz,Kunnathunadu,Ernakulam,KERALA,682308
Puthuvype,Kochi,Ernakulam,KERALA,682508
Rajagiri,Kanayannur,Ernakulam,KERALA,683104
Rajagiri Valley,Ernakulam,Ernakulam,KERALA,682039
S.Chellanam,Kochi,Ernakulam,KERALA,682008
Shanmugham Road,Ernakulam,Ernakulam,KERALA,682031
South Paravoor,Kanayannur,Ernakulam,KERALA,682307
Thalacode,Kanayannur,Ernakulam,KERALA,682314
Thammanam,Ernakulam,Ernakulam,KERALA,682032
Thekkumbhagom,Ernakulam,Ernakulam,KERALA,682301
Thengod,Ernakulam,Ernakulam,KERALA,682030
Thevara,Ernakulam,Ernakulam,KERALA,682013
Thirumarayoor,Kanayannur,Ernakulam,KERALA,682313
Thiruvamkulam,Ernakulam,Ernakulam,KERALA,682305
Thiruvaniyoor,Kunnathunadu,Ernakulam,KERALA,682308
Thoppumpady,Kochi,Ernakulam,KERALA,682005
Thrikkakara,Ernakulam,Ernakulam,KERALA,682021
Tripunithura Fort,Ernakulam,Ernakulam,KERALA,682301
Tripunithura,Ernakulam,Ernakulam,KERALA,682301
Udayamperoor,Ernakulam,Ernakulam,KERALA,682307
Udyogamandal,Parur,Ernakulam,KERALA,683501
Vadacode,Kanayannur,Ernakulam,KERALA,682021
Vadacode Kailas Colony,Kanayannur,Ernakulam,KERALA,682021
Vadavucode,Kunnathunadu,Ernakulam,KERALA,682310
Vadayampadi,Kunnathunad,Ernakulam,KERALA,682308
Vaduthala,Ernakulam,Ernakulam,KERALA,682023
Vallarpadam,Ernakulam,Ernakulam,KERALA,682504
Varikoli,Kunnathunadu,Ernakulam,KERALA,682308
Veliyanad,Kanayannur,Ernakulam,KERALA,682313
Vennala,Ernakulam,Ernakulam,KERALA,682028
Vettickal,Kanayannur,Ernakulam,KERALA,682314
Vyttila,Ernakulam,Ernakulam,KERALA,682019
Willingdon Island,Kochi,Ernakulam,KERALA,682003
Thuruthippuram,Paravur,Ernakulam,KERALA,680667
Alagappanagar,Mukundapuram,Thrissur,KERALA,680302
AlathurThrissur,Mukundapuram,Thrissur,KERALA,680741
Alur Kalletumkara,Mukundapuram,Thrissur,KERALA,680683
Anandapuram,Mukundapuram,Thrissur,KERALA,680305
Anapuzha,Kodungallur,Thrissur,KERALA,680667
Annallur,Mukundapuram,Thrissur,KERALA,680731
Annamanada,Mukundapuram,Thrissur,KERALA,680741
Annanad,Mukundapuram,Thrissur,KERALA,680309
Arattupuzha,Thrissur,Thrissur,KERALA,680562
Aripalam,Mukundapuram,Thrissur,KERALA,680688
Ashtamichira,Mukundapuram,Thrissur,KERALA,680731
Avittathur,Mukundapuram,Thrissur,KERALA,680683
Azhikode Jetty,Kodungallur,Thrissur,KERALA,680666
Azhikode Thrissur,Kodungallur,Thrissur,KERALA,680666
Chaipankuzhi,Mukundapuram,Thrissur,KERALA,680724
Chakkarappadam,Kodungallur,Thrissur,KERALA,680686
Chalakudi,Mukundapuram Taluk,Thrissur,KERALA,680307
Chalakudi R S,Mukundapuram,Thrissur,KERALA,680722
Chalakudi South,NA,Thrissur,KERALA,680307
Chalakudi Town,NA,Thrissur,KERALA,680307
Chalingad,Kodungallur,Thrissur,KERALA,680681
Chamakkala,Kodungallur,Thrissur,KERALA,680687
Chattikulam,Mukundapuram,Thrissur,KERALA,680721
Chazhur,Thrissur,Thrissur,KERALA,680571
Chelur,Mukundapuram,Thrissur,KERALA,680121
Chembuchira,Mukundapuram,Thrissur,KERALA,680684
Chengallur,Mukundapuram,Thrissur,KERALA,680312
Chentrappinni East,Kodungallur,Thrissur,KERALA,680687
Chentrappinni,Kodungallur,Thrissur,KERALA,680687
Cherpu Padinjattumuri,Thrissur,Thrissur,KERALA,680561
Cherpu,Thrissur,Thrissur,KERALA,680561
Cheruvallur,Mukundapuram,Thrissur,KERALA,680308
Chimoni Dam,Mukundapuram,Thrissur,KERALA,680304
Chittissery,Mukundapuram,Thrissur,KERALA,680301
Chokkana,Mukundapuram,Thrissur,KERALA,680699
Chulur,Chavakkad,Thrissur,KERALA,680567
Edakulam,Mukundapuram,Thrissur,KERALA,680688
Edamuttam,Chavakkad,Thrissur,KERALA,680568
Edathirinji,Mukundapuram,Thrissur,KERALA,680122
Edathuruthy,Mukundapuram,Thrissur,KERALA,680703
Edavilangu,Kodungallur,Thrissur,KERALA,680671
Elinjipra,Miukundapuram,Thrissur,KERALA,680721
Eravathur,Mukundapuram,Thrissur,KERALA,680734
Erayamkudi,Mukundapuram,Thrissur,KERALA,680308
Eriyad,Kodungallur,Thrissur,KERALA,680666
Inchakundu,Mukundapuram,Thrissur,KERALA,680312
Inchamudy,Thrissur,Thrissur,KERALA,680564
Iranikulam,Mukundapuram,Thrissur,KERALA,680734
Irinjalakuda,Mukundapuram Taluk,Thrissur,KERALA,680121
Irinjalakuda Mkt,Mukundapuram,Thrissur,KERALA,680121
Irinjalakuda North,Mukundapuram,Thrissur,KERALA,680125
Kadukutty,Mukundapuram,Thrissur,KERALA,680309
Kaduppassery South,Mukundapuram,Thrissur,KERALA,680683
Kaduppassery,Mukundapuram,Thrissur,KERALA,680683
Kaipamangalam Beach,Kodungallur,Thrissur,KERALA,680681
Kaipamangalam,Kodungallur,Thrissur,KERALA,680681
Kalimbram,Chavakkad,Thrissur,KERALA,680568
Kallettumkara,Mukundapuram,Thrissur,KERALA,680683
Kallur Thrissur,Mukundapuram,Thrissur,KERALA,680317
Kalparamba,Mukundapuram,Thrissur,KERALA,680662
Kanakamala,Mukundapuram,Thrissur,KERALA,680689
Kandamkulam,Kodungallur,Thrissur,KERALA,680669
Kanjirappilly TCR,Mukundapuram,Thrissur,KERALA,680721
Kannampallipuram,Kodungallur,Thrissur,KERALA,680687
Kannikulangara,Mukundapuram,Thrissur,KERALA,680682
Kara,Kodungallur,Thrissur,KERALA,680671
Karalam,Mukundapuram,Thrissur,KERALA,680711
Karanchira,Mukundapuram,Thrissur,KERALA,680702
Karayamvattam,Chavakkad,Thrissur,KERALA,680567
Karumathra,Mukundapuram,Thrissur,KERALA,680123
Karupadanna,Mukundapuram,Thrissur,KERALA,680670
Karur,Mukundapuram,Thrissur,KERALA,680697
Karuvannur,Mukundapuram,Thrissur,KERALA,680711
Kathikkudam,Mukundapuram,Thrissur,KERALA,680308
Kattoor,Mukundapuram,Thrissur,KERALA,680702
Kilakkummuri,Thrissur,Thrissur,KERALA,680571
Kinfra Park Koratti,Mukundapuram,Thrissur,KERALA,680309
Kizhupillikkara,Mukundapuram,Thrissur,KERALA,680702
Kodakara,Mukundapuram,Thrissur,KERALA,680684
Kodassery,Mukundapuram,Thrissur,KERALA,680721
Kodungallur,Kodungallur,Thrissur,KERALA,680664
Kombathukadavu,Mukundapuram,Thrissur,KERALA,680682
Konathukunnu,Mukundapuram,Thrissur,KERALA,680123
Konnakuzhy,Mukundapuram,Thrissur,KERALA,680721
